ground_temperature,air_temperature,surface_temperature(mod),bottom_temperature
-6.0,-5.08,-3.53,-6.0
-7.27,-7.27,-8.015,-7.27
-9.15,-6.46,-14.372,-9.15
-9.85,-7.16,-18.674,-9.85
-9.07,-7.49,-24.271,-9.07
-9.49,-8.31,-23.298,-9.49
-9.47,-8.56,-23.648,-9.47
-9.62,-8.82,-24.003,-9.62
-10.31,-9.23,-25.727,-10.31
-10.74,-9.13,-29.093,-10.74
-11.64,-9.3,-27.585,-11.64
-11.0,-9.62,-25.17,-11.0
-11.22,-9.9,-24.331,-11.22
-10.81,-9.93,-27.572,-10.81
-10.53,-9.61,-26.429,-10.53
-10.56,-9.55,-23.487,-10.56
-11.8,-8.73,-13.535,-11.8
-11.68,-8.28,-11.831,-11.68
-9.99,-8.26,-8.796,-9.99
-8.34,-8.29,-8.397,-8.34
-6.77,-6.07,-5.728,-6.77
-6.58,-4.45,-2.907,-6.58
-5.86,-4.39,-4.516,-5.86
-7.14,-3.5,-3.852,-7.14
-9.07,-3.9,-4.314,-9.07
-11.89,-5.83,-5.6,-11.89
-15.47,-7.86,-11.294,-15.47
-15.78,-10.37,-14.228,-15.78
-16.36,-10.82,-14.621,-16.36
-17.1,-11.71,-15.392,-17.1
-17.66,-12.84,-17.52,-17.66
-17.78,-14.05,-19.012,-17.78
-17.74,-14.85,-19.425,-17.74
-18.54,-15.39,-19.618,-18.54
-18.38,-15.81,-21.138,-18.38
-18.69,-15.87,-23.992,-18.69
-18.99,-15.82,-25.311,-18.99
-19.75,-13.96,-21.291,-19.75
-18.73,-13.75,-19.393,-18.73
-19.02,-13.24,-19.623,-19.02
-19.38,-12.53,-18.126,-19.38
-16.39,-12.33,-15.62,-16.39
-13.77,-12.21,-12.935,-13.77
-11.67,-10.5,-11.322,-11.67
-10.14,-7.06,-7.053,-10.14
-8.94,-5.58,-6.171,-8.94
-9.01,-5.27,-5.456,-9.01
-10.12,-4.07,-4.944,-10.12
-12.05,-3.33,-4.645,-12.05
-14.6,-5.93,-7.186,-14.6
-17.43,-7.29,-11.677,-17.43
-17.06,-8.68,-13.683,-17.06
-15.43,-8.52,-14.742,-15.43
-15.39,-9.03,-16.011,-15.39
-14.71,-10.77,-20.358,-14.71
-14.44,-10.85,-22.219,-14.44
-14.21,-11.05,-23.079,-14.21
-14.19,-11.16,-21.506,-14.19
-13.92,-11.38,-24.874,-13.92
-13.36,-11.79,-27.062,-13.36
-13.33,-11.33,-27.379,-13.33
-13.18,-10.03,-23.759,-13.18
-12.65,-9.86,-22.184,-12.65
-13.81,-9.81,-24.179,-13.81
-13.11,-9.33,-22.488,-13.11
-9.97,-8.91,-17.027,-9.97
-9.03,-9.0,-11.541,-9.03
-7.01,-7.95,-7.544,-7.01
-5.94,-6.1,-5.325,-5.94
-5.11,-5.32,-4.638,-5.11
-5.06,-5.06,-4.218,-5.06
-5.7,-4.75,-3.793,-5.7
-6.88,-5.64,-4.673,-6.88
-8.87,-7.32,-10.87,-8.87
-11.1,-7.26,-13.168,-11.1
-11.56,-7.49,-16.819,-11.56
-10.95,-8.19,-19.996,-10.95
-9.87,-8.45,-19.184,-9.87
-10.96,-10.12,-20.362,-10.96
-12.04,-8.73,-17.608,-12.04
-11.67,-9.22,-17.232,-11.67
-12.73,-9.08,-17.486,-12.73
-14.07,-9.38,-14.217,-14.07
-14.31,-11.33,-24.116,-14.31
-14.94,-10.85,-27.449,-14.94
-14.93,-11.75,-18.118,-14.93
-16.49,-11.94,-18.095,-16.49
-16.94,-12.56,-18.981,-16.94
-16.58,-11.98,-17.593,-16.58
-13.79,-8.81,-11.773,-13.79
-11.07,-8.63,-8.236,-11.07
-9.1,-8.22,-7.858,-9.1
-8.34,-5.31,-5.03,-8.34
-7.98,-2.51,-3.08,-7.98
-7.82,-1.54,-2.391,-7.82
-8.91,-0.62,-1.342,-8.91
-10.61,0.06,-1.222,-10.61
-13.43,-3.79,-5.107,-13.43
-15.91,-5.12,-11.236,-15.91
-17.31,-6.87,-15.303,-17.31
-17.61,-7.03,-15.068,-17.61
-17.21,-8.17,-16.482,-17.21
-16.02,-9.05,-13.311,-16.02
-14.94,-10.25,-14.634,-14.94
-15.98,-10.55,-19.082,-15.98
-15.65,-10.67,-21.004,-15.65
-14.79,-10.49,-26.349,-14.79
-14.97,-11.2,-28.628,-14.97
-14.3,-8.33,-26.82,-14.3
-15.32,-16.03,-29.122,-15.32
-15.47,-16.17,-30.831,-15.47
-15.2,-16.09,-31.247,-15.2
-15.53,-15.99,-31.385,-15.53
-13.1,-11.65,-21.905,-13.1
-10.25,-10.3,-12.026,-10.25
-8.19,-9.54,-11.369,-8.19
-6.27,-5.91,-8.006,-6.27
-5.91,-4.95,-6.387,-5.91
-6.13,-5.16,-6.424,-6.13
-5.83,-3.43,-4.528,-5.83
-7.72,-4.21,-5.58,-7.72
-10.08,-6.41,-7.261,-10.08
-12.25,-6.14,-8.564,-12.25
-12.46,-6.7,-10.547,-12.46
-13.15,-6.05,-11.692,-13.15
-11.99,-6.87,-14.597,-11.99
-12.27,-8.72,-17.69,-12.27
-13.49,-9.46,-17.815,-13.49
-11.78,-9.06,-22.208,-11.78
-11.95,-9.58,-26.19,-11.95
-12.31,-9.45,-29.879,-12.31
-12.14,-9.41,-31.077,-12.14
-11.12,-9.34,-30.129,-11.12
-12.17,-9.73,-26.721,-12.17
-11.55,-9.6,-27.439,-11.55
-13.06,-10.05,-28.692,-13.06
-11.79,-8.64,-25.283,-11.79
-10.03,-7.4,-16.648,-10.03
-8.24,-8.14,-9.633,-8.24
-6.58,-7.59,-8.63,-6.58
-5.66,-5.53,-6.243,-5.66
-5.15,-5.4,-5.908,-5.15
-5.03,-5.53,-5.754,-5.03
-4.68,-5.24,-5.277,-4.68
-6.54,-5.54,-5.36,-6.54
-9.27,-6.56,-5.875,-9.27
-11.55,-6.31,-8.866,-11.55
-11.55,-6.53,-13.338,-11.55
-10.48,-6.85,-15.677,-10.48
-10.66,-7.42,-17.232,-10.66
-10.52,-8.22,-17.626,-10.52
-11.04,-9.39,-16.761,-11.04
-11.11,-9.63,-17.327,-11.11
-9.63,-9.75,-22.278,-9.63
-11.29,-9.38,-31.644,-11.29
-10.96,-9.42,-30.75,-10.96
-11.98,-9.95,-34.326,-11.98
-11.17,-9.87,-32.871,-11.17
-11.47,-9.56,-30.544,-11.47
-11.04,-9.36,-32.136,-11.04
-11.43,-9.27,-30.284,-11.43
-10.04,-8.08,-18.653,-10.04
-7.75,-7.52,-6.768,-7.75
-6.18,-7.05,-5.635,-6.18
-5.51,-5.16,-3.948,-5.51
-5.11,-2.68,-1.57,-5.11
-5.55,-2.32,-1.207,-5.55
-5.95,-2.16,-0.826,-5.95
-6.5,-2.7,-1.48,-6.5
-7.89,-3.86,-3.562,-7.89
-11.82,-3.47,-11.371,-11.82
-11.89,-3.46,-15.009,-11.89
-11.94,-4.51,-15.456,-11.94
-10.97,-5.18,-14.667,-10.97
-10.41,-6.57,-15.766,-10.41
-11.22,-6.22,-16.057,-11.22
-11.73,-6.6,-13.118,-11.73
-11.33,-6.4,-18.826,-11.33
-11.24,-7.36,-19.496,-11.24
-12.27,-8.22,-23.856,-12.27
-13.02,-8.47,-24.059,-13.02
-11.01,-8.1,-26.461,-11.01
-11.17,-7.84,-26.547,-11.17
-11.77,-7.38,-26.027,-11.77
-11.21,-6.87,-25.012,-11.21
-10.02,-5.56,-15.944,-10.02
-8.02,-6.16,-5.974,-8.02
-6.19,-6.76,-4.914,-6.19
-5.67,-5.43,-3.623,-5.67
-4.69,-4.11,-2.38,-4.69
-4.83,-4.2,-2.425,-4.83
-5.37,-3.51,-2.076,-5.37
-6.93,-3.33,-1.848,-6.93
-9.49,-4.12,-3.985,-9.49
-11.98,-1.38,-8.223,-11.98
-11.67,-7.6,-17.615,-11.67
-11.4,-6.54,-16.889,-11.4
-11.78,-7.22,-18.682,-11.78
-10.63,-8.6,-22.279,-10.63
-10.9,-9.27,-24.783,-10.9
-10.97,-9.65,-29.907,-10.97
-10.04,-9.47,-33.286,-10.04
-10.38,-9.56,-31.49,-10.38
-9.46,-11.1,-33.316,-9.46
-9.79,-10.42,-32.891,-9.79
-11.41,-10.05,-27.242,-11.41
-11.89,-9.38,-27.434,-11.89
-12.04,-8.99,-26.832,-12.04
-11.82,-7.97,-25.477,-11.82
-10.0,-6.76,-17.158,-10.0
-8.46,-7.03,-6.395,-8.46
-6.75,-7.82,-6.977,-6.75
-5.29,-6.15,-5.218,-5.29
-5.53,-6.2,-4.971,-5.53
-5.28,-5.39,-4.193,-5.28
-5.46,-4.51,-3.366,-5.46
-7.72,-3.93,-2.935,-7.72
-9.58,-5.0,-3.76,-9.58
-13.83,-5.24,-8.648,-13.83
-15.12,-7.07,-16.511,-15.12
-15.14,-7.66,-20.512,-15.14
-14.72,-7.95,-25.793,-14.72
-13.87,-9.1,-27.743,-13.87
-13.0,-9.52,-28.708,-13.0
-13.85,-11.7,-26.262,-13.85
-13.18,-12.71,-26.549,-13.18
-14.46,-13.07,-27.254,-14.46
-15.39,-13.48,-28.027,-15.39
-14.98,-13.02,-25.08,-14.98
-15.43,-12.67,-17.802,-15.43
-14.42,-12.08,-17.688,-14.42
-13.26,-11.89,-18.765,-13.26
-13.46,-10.36,-16.207,-13.46
-11.62,-8.8,-14.877,-11.62
-9.54,-8.98,-9.638,-9.54
-7.36,-7.91,-6.835,-7.36
-7.04,-5.69,-6.169,-7.04
-6.17,-5.26,-4.442,-6.17
-6.48,-5.04,-2.966,-6.48
-8.01,-4.94,-2.204,-8.01
-9.04,-4.35,-2.285,-9.04
-12.88,-6.29,-4.655,-12.88
-14.58,-6.8,-6.991,-14.58
-16.47,-9.04,-10.26,-16.47
-16.87,-10.03,-12.647,-16.87
-17.03,-11.14,-13.83,-17.03
-17.38,-11.86,-17.075,-17.38
-16.2,-12.75,-17.447,-16.2
-16.22,-12.95,-18.799,-16.22
-16.4,-12.9,-19.494,-16.4
-15.59,-13.15,-21.519,-15.59
-14.91,-12.82,-27.609,-14.91
-14.78,-13.47,-28.886,-14.78
-15.31,-13.88,-26.023,-15.31
-15.75,-13.39,-25.163,-15.75
-15.8,-13.1,-27.158,-15.8
-14.65,-12.84,-27.293,-14.65
-12.88,-11.78,-17.15,-12.88
-10.47,-11.18,-10.005,-10.47
-7.96,-10.06,-8.41,-7.96
-6.76,-6.25,-4.676,-6.76
-5.59,-6.02,-4.763,-5.59
-6.15,-5.91,-4.661,-6.15
-6.83,-5.07,-3.775,-6.83
-8.6,-4.7,-3.507,-8.6
-10.25,-6.85,-5.16,-10.25
-14.23,-6.57,-7.209,-14.23
-15.88,-8.96,-12.154,-15.88
-15.24,-9.4,-16.879,-15.24
-15.72,-9.26,-19.356,-15.72
-14.74,-9.81,-21.771,-14.74
-14.93,-9.89,-24.529,-14.93
-13.33,-9.84,-22.865,-13.33
-12.9,-10.16,-27.075,-12.9
-13.39,-9.62,-28.124,-13.39
-13.49,-9.92,-29.045,-13.49
-13.68,-10.03,-29.09,-13.68
-13.36,-9.07,-28.78,-13.36
-13.36,-9.34,-26.682,-13.36
-13.49,-9.6,-26.469,-13.49
-13.41,-9.85,-25.937,-13.41
-10.43,-9.6,-16.22,-10.43
-8.73,-8.82,-7.061,-8.73
-6.85,-8.78,-6.416,-6.85
-5.25,-6.49,-4.154,-5.25
-5.07,-6.0,-5.298,-5.07
-4.67,-5.72,-4.954,-4.67
-5.17,-5.07,-4.104,-5.17
-5.98,-4.97,-3.947,-5.98
-6.92,-6.55,-6.997,-6.92
-11.0,-6.68,-10.448,-11.0
-12.95,-6.75,-13.577,-12.95
-12.0,-6.34,-13.549,-12.0
-12.41,-7.52,-14.033,-12.41
-10.79,-7.92,-16.098,-10.79
-11.2,-8.35,-20.2,-11.2
-10.05,-8.31,-19.306,-10.05
-10.65,-8.34,-19.446,-10.65
-9.91,-8.39,-23.705,-9.91
-10.17,-9.4,-27.837,-10.17
-11.26,-9.03,-27.977,-11.26
-10.44,-8.47,-27.403,-10.44
-11.32,-7.95,-27.88,-11.32
