sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
25.656,5.848,-12.88,0.0,258.917,187.543,-75.121,79.133,395.664,316.531,0.2,395.664,0.0,395.664,-6.34,-12.88,-12.88,82.0,0.8,0.8,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
37.109,10.597,-13.25,0.0,254.098,183.506,-74.258,13.248,66.24,52.992,0.2,66.24,0.0,66.24,-7.67,-13.25,-13.25,84.8,0.8,0.8,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
90.441,24.453,-13.96,0.0,251.829,180.581,-74.856,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-7.86,-13.96,-13.96,83.7,1.2,1.2,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
87.799,24.133,-13.16,0.0,252.738,180.584,-75.761,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-7.55,-13.16,-13.16,81.3,1.0,1.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
77.175,14.763,-12.3,0.0,256.015,175.889,-83.64,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-9.21,-12.3,-12.3,81.4,1.1,1.1,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
72.474,7.066,-12.44,0.0,257.052,172.945,-87.561,0.0,0.0,0.0,0.225,0.0,0.0,0.0,-9.09,-12.44,-12.44,79.6,1.0,1.0,328.0,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.003,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
61.995,3.544,-12.0,0.0,257.817,171.853,-89.397,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-9.47,-12.0,-12.0,79.7,1.0,1.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
68.564,2.199,-13.14,0.0,255.662,169.977,-89.081,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-10.0,-13.14,-13.14,81.4,1.0,1.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
69.589,9.335,-12.95,0.0,253.513,170.715,-86.209,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-9.52,-13.467,-12.95,81.8,1.0,1.0,324.0,0.563,2.097,0.014,0.0,2.097,2.097,0.629,0.0,0.0,0.0,0.008,0.0,-1.0,2.097,0.1,2.097,6.0,2.097,6.0,2.097,6.0
73.633,10.493,-13.39,0.0,251.093,169.255,-85.219,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-10.32,-14.183,-13.39,81.7,1.0,1.0,323.0,0.0,2.15,0.013,0.0,2.15,2.15,0.646,0.0,0.0,0.0,0.016,0.0,-1.0,2.15,0.1,2.15,6.0,2.15,6.0,2.15,6.0
73.723,12.531,-12.66,0.0,253.45,170.278,-86.573,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-9.4,-12.51,-12.66,80.4,1.1,1.1,324.0,0.0,2.192,0.008,0.0,2.192,2.192,0.658,0.0,0.0,0.0,0.013,0.0,-1.0,2.192,0.1,2.192,6.0,2.192,6.0,2.192,6.0
84.141,4.614,-12.86,0.0,253.706,167.508,-89.544,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-11.16,-13.738,-12.86,85.1,1.1,1.1,329.0,0.0,2.229,0.011,0.0,2.229,2.229,0.67,0.0,0.0,0.0,0.012,0.0,-1.0,2.229,0.1,2.229,6.0,2.229,6.0,2.229,6.0
79.435,10.202,-12.66,0.0,252.82,165.52,-90.607,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-11.05,-13.196,-12.66,86.4,1.2,1.2,322.0,0.0,2.267,0.009,0.552,2.267,2.267,0.682,0.0,0.0,0.0,0.012,0.0,-1.0,2.267,0.1,2.267,6.0,2.267,6.0,2.267,6.0
